date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF
2020-02-24,,OW,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-25,,OW,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-26,,OW,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-27,,OW,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-28,,OW,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-29,,OW,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-01,,OW,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-02,,OW,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-03,,OW,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-04,,OW,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-05,,OW,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-06,,OW,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-07,,OW,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-08,,OW,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-09,,OW,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-10,,OW,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-11,,OW,,7,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-12,,OW,,7,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-13,,OW,,10,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-14,,OW,,15,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-15,,OW,,15,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-16,,OW,,17,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-17,,OW,,18,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-18,,OW,,20,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-19,,OW,,20,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-20,,OW,,21,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-21,,OW,,23,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-22,,OW,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-23,,OW,,26,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-24,,OW,,26,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-25,,OW,,28,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-26,,OW,,31,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-27,,OW,,35,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-28,,OW,,37,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-29,,OW,,39,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-30,,OW,,41,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-31,,OW,,42,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-01,,OW,,45,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-02,,OW,,49,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-03,,OW,,49,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-04,,OW,,50,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-05,,OW,,53,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-06,,OW,,54,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-07,,OW,,55,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-08,,OW,,56,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-09,,OW,,56,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-10,,OW,,56,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-11,,OW,,56,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-12,,OW,,56,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-13,,OW,,56,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-14,,OW,,56,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-15,,OW,,57,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-16,,OW,,59,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-17,,OW,,60,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-18,,OW,,60,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-19,,OW,,60,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-20,,OW,,60,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-21,,OW,,60,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-22,,OW,,61,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-23,,OW,,63,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-24,,OW,,64,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-25,,OW,,66,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-26,,OW,,68,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-27,,OW,,70,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-28,,OW,,72,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-29,,OW,,73,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-30,,OW,,73,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-01,,OW,,73,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-02,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-03,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-04,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-05,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-06,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-07,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-08,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-09,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-10,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-11,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-12,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-13,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-14,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-15,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-16,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-17,,OW,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-18,,OW,,75,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-19,,OW,,75,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-20,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-21,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-22,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-23,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-24,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-25,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-26,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-27,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-28,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-29,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-30,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-31,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-01,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-02,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-03,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-04,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-05,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-06,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-07,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-08,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-09,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-10,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-11,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-12,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-13,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-14,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-15,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-16,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-17,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-18,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-19,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-20,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-21,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-22,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-23,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-24,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-25,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-26,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-27,,OW,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-28,,OW,,78,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-29,,OW,,78,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-30,,OW,,78,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-01,,OW,,78,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-02,,OW,,78,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-03,,OW,,79,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-04,,OW,,79,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
