date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF
2020-02-24,,AR,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-25,,AR,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-26,,AR,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-27,,AR,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-28,,AR,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-29,,AR,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-01,,AR,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-02,,AR,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-03,,AR,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-04,,AR,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-05,,AR,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-06,,AR,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-07,,AR,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-08,,AR,,2,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-09,,AR,,3,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-10,,AR,,3,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-11,,AR,,5,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-12,,AR,,5,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-13,,AR,,6,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-14,,AR,,9,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-15,,AR,,10,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-16,,AR,,15,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-17,,AR,,17,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-18,,AR,,21,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-19,,AR,,28,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-20,,AR,,30,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-21,,AR,,31,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-22,,AR,,31,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-23,,AR,,34,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-24,,AR,,37,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-25,,AR,,40,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-26,,AR,,43,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-27,,AR,,45,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-28,,AR,,49,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-29,,AR,,51,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-30,,AR,,55,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-31,,AR,,60,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-01,,AR,,62,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-02,,AR,,64,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-03,,AR,,65,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-04,,AR,,66,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-05,,AR,,67,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-06,,AR,,69,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-07,,AR,,72,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-08,,AR,,74,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
