date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF
2020-02-24,,VD,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-25,,VD,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-26,,VD,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-27,,VD,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-28,,VD,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-29,,VD,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-01,,VD,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-02,,VD,,6,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-03,,VD,,10,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-04,,VD,,18,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-05,,VD,,29,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-06,,VD,,37,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-07,,VD,,48,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-08,,VD,,58,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-09,,VD,,94,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-10,,VD,,134,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-11,,VD,,208,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-12,,VD,,283,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-13,,VD,,380,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-14,,VD,,487,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-15,,VD,,579,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-16,,VD,,817,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-17,,VD,,1065,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-18,,VD,,1335,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-19,,VD,,1552,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-20,,VD,,1794,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-21,,VD,,1915,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-22,,VD,,2020,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-23,,VD,,2331,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-24,,VD,,2603,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-25,,VD,,2797,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-26,,VD,,3003,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-27,,VD,,3241,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-28,,VD,,3374,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-29,,VD,,3462,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-30,,VD,,3676,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-31,,VD,,3838,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-01,,VD,,3991,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-02,,VD,,4127,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-03,,VD,,4264,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-04,,VD,,4336,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-05,,VD,,4377,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-06,,VD,,4496,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-07,,VD,,4578,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-08,,VD,,4672,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-09,,VD,,4769,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-10,,VD,,4818,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-11,,VD,,4858,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-12,,VD,,4897,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-13,,VD,,4941,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-14,,VD,,5011,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-15,,VD,,5062,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-16,,VD,,5092,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-17,,VD,,5125,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-18,,VD,,5144,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-19,,VD,,5155,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-20,,VD,,5188,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-21,,VD,,5220,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-22,,VD,,5242,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-23,,VD,,5273,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-24,,VD,,5295,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-25,,VD,,5308,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-26,,VD,,5317,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
