date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF
2020-02-24,,SG,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-25,,SG,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-26,,SG,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-27,,SG,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-28,,SG,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-29,,SG,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-01,,SG,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-02,,SG,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-03,,SG,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-04,,SG,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-05,,SG,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-06,,SG,,4,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-07,,SG,,4,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-08,,SG,,5,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-09,,SG,,13,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-10,,SG,,14,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-11,,SG,,22,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-12,,SG,,30,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-13,,SG,,39,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-14,,SG,,46,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-15,,SG,,49,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-16,,SG,,77,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-17,,SG,,106,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-18,,SG,,133,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-19,,SG,,153,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-20,,SG,,192,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-21,,SG,,201,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-22,,SG,,212,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
