date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF
2020-02-24,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-25,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-26,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-27,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-28,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-29,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-01,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-02,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-03,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-04,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-05,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-06,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-07,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-08,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-09,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-10,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-11,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-12,,AI,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-13,,AI,,2,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-14,,AI,,2,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-15,,AI,,2,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-16,,AI,,4,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-17,,AI,,5,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-18,,AI,,5,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-19,,AI,,7,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-20,,AI,,8,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-21,,AI,,8,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-22,,AI,,8,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-23,,AI,,8,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-24,,AI,,10,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-25,,AI,,11,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-26,,AI,,11,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-27,,AI,,13,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-28,,AI,,14,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-29,,AI,,14,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-30,,AI,,14,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-31,,AI,,17,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-01,,AI,,20,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-02,,AI,,20,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-03,,AI,,21,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-04,,AI,,21,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-05,,AI,,21,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-06,,AI,,21,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-07,,AI,,23,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-08,,AI,,24,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-09,,AI,,24,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-10,,AI,,24,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-11,,AI,,24,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-12,,AI,,24,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-13,,AI,,24,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-14,,AI,,24,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-15,,AI,,24,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-16,,AI,,24,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-17,,AI,,24,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-18,,AI,,24,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-19,,AI,,24,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-20,,AI,,24,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-21,,AI,,24,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-22,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-23,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-24,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-25,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-26,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-27,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-28,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-29,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-30,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-01,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-02,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-03,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-04,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-05,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-06,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-07,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-08,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-09,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-10,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-11,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-12,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-13,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-14,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-15,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-16,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-17,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-18,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-19,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-20,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-21,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-22,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-23,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-24,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-25,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-26,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-27,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-28,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-29,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-30,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-31,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-01,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-02,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-03,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-04,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-05,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-06,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-07,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-08,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-09,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-10,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-11,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-12,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-13,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-14,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-15,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-16,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-17,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-18,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-19,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-20,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-21,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-22,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-23,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-24,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-25,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-26,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-27,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-28,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-29,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-06-30,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-01,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-02,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-03,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-04,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-05,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-06,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-07,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-08,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-09,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-10,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-11,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-12,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-13,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-14,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-15,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-16,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-17,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-18,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-19,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-20,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-21,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-22,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-23,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-24,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-25,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-26,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-27,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-28,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-29,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-30,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-07-31,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-01,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-02,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-03,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-04,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-05,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-06,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-07,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-08,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-09,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-10,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-11,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-12,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-13,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-14,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-15,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-16,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-17,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-18,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-19,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-08-20,,AI,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
